,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
5017,rishabh pant,Top Order,75.16455932039344,13.0,7166.6128590399185,13.0,4.019999999999982,13.0,75.16455932039344,7166.6128590399185,4.019999999999982,1.0054570068021147,1.2323501205971445,-0.26557809075827926,0.7055196922110376,75.97565592341269,88.88888888888889,7.0,0.5095419999301938,77.14285714285715,Rishabh Pant,Delhi Capitals
5313,ms dhoni,Lower Order,73.67199923080533,11.0,7522.626535600679,11.0,16.50999999999999,11.0,73.67199923080533,7517.50087183142,16.50999999999999,0.8471355678672164,1.0689976520849331,0.0952552571162831,0.7076866403262678,76.04300622068313,71.42857142857143,3.0,0.48653456522430916,75.71428571428571,Ms Dhoni,Chennai Super Kings
5395,ashutosh sharma,Lower Order,74.81442479783775,9.0,6812.587105871771,9.0,78.01000000000003,9.0,74.81442479783775,6812.587105871771,74.554,0.8699947154499784,-0.1829625101613381,1.9649099052135812,0.7567866771443368,77.54111620542601,85.71428571428571,1.0,0.48650572102135936,74.28571428571429,Ashutosh Sharma,Punjab Kings
5513,abhishek sharma,Openers,5.696067335558546,16.0,7168.846760641914,16.0,102.32999999999991,16.0,5.696067335558546,7168.846760641914,102.32999999999991,-0.24045863966601613,1.094822227137421,0.7058904915317761,0.6346857970574483,73.7183320684129,54.54545454545454,8.0,0.4835701310913892,72.85714285714285,Abhishek Sharma,Sunrisers Hyderabad
5761,andre russell,Lower Order,87.89059495182941,9.0,7420.225238132935,9.0,20.410000000000004,9.0,87.10602474258991,7420.225238132935,20.410000000000004,1.1159411519388118,0.8962315294344992,0.22087811438972196,0.7402805637548948,77.0435114035159,100.0,2.0,0.47589464812814664,71.42857142857143,Andre Russell,Kolkata Knight Riders
5902,jake fraser-mcgurk,Openers,82.81861233774055,9.0,6557.691891585413,9.0,109.68,9.0,82.81861233774055,6557.691891585413,109.68,0.7185868621959656,0.6794440254093831,0.836897804298868,0.7386957281140227,76.99541098145579,81.81818181818183,7.0,0.47487582521615745,70.0,Jake Fraser-Mcgurk,Delhi Capitals
6052,shivam dube,Top Order,33.55697896152889,14.0,6697.896007611047,14.0,26.25999999999995,14.0,33.55697896152889,6697.896007611047,26.25999999999995,0.365146384018028,0.8483365825257724,0.24196606294678863,0.5359323027690622,70.39973308386942,74.07407407407408,8.0,0.39489748625088794,68.57142857142857,Shivam Dube,Chennai Super Kings
6311,heinrich klaasen,Middle Order,115.91171205208492,15.0,7560.60723989484,15.0,-69.47999999999996,15.0,115.91171205208492,7560.60723989484,-69.47999999999996,1.2423082792489368,1.0874465291580329,-1.3118173490073248,0.374908824022583,64.61358618415132,86.66666666666667,5.0,0.28118161801693725,67.14285714285714,Heinrich Klaasen,Sunrisers Hyderabad
6604,ravindra jadeja,Lower Order,36.89289634873187,11.0,7437.198806113038,11.0,-2.8599999999999484,11.0,36.89289634873187,7437.198806113038,-2.8599999999999484,0.11121108840478781,0.9263773883302149,-0.528671600675126,0.26395324246076657,60.40920257972837,57.14285714285714,4.0,0.181467854191777,65.71428571428571,Ravindra Jadeja,Chennai Super Kings
6795,rahul tewatia,Middle Order,36.00374298938637,9.0,5892.359047453334,9.0,34.53000000000002,9.0,36.00374298938637,5892.359047453334,34.53000000000002,0.09878175476953222,-0.052733210615366004,0.8188040080665785,0.25873224246915083,60.20790797444974,60.0,6.0,0.16632787015873982,64.28571428571429,Rahul Tewatia,Gujarat Titans
