,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
7917,mohit sharma,['Death'],137.02053346670255,44.683114875265055,-75.44000000000003,11.0,11.0,11,137.02053346670255,44.683114875265055,-75.44000000000003,-0.1249426961495736,0.5950749268521724,-0.6084321764580678,0.1753926753703032,56.96144522062997,75.0,2.0,0.12058246431708342,55.223880597014926,Mohit Sharma,Gujarat Titans
8162,naveen-ul-haq,"['Powerplay', 'Death']",311.4339316136941,51.24899515711908,-21.610000000000028,10.0,10.0,10,311.4339316136941,51.24899515711908,-21.610000000000028,0.5838056051547774,-0.04144929507065763,0.09853056344530682,0.09825204618543097,53.91339222660035,80.0,11.0,0.0655013641236206,53.73134328358209,Naveen-Ul-Haq,Lucknow Super Giants
8392,vaibhav arora,['Powerplay'],263.230568261517,61.280620024592054,-69.41,10.0,10.0,10,263.230568261517,61.280620024592054,-67.5209,0.9132375830035397,0.7050959564851008,-1.4894248924402345,0.005050701597819507,50.20149298463864,90.0,5.0,0.003367134398546301,52.23880597014925,Vaibhav Arora,Kolkata Knight Riders
8590,rahul chahar,['Middle'],218.05663150052186,51.862104525942044,-40.890000000000015,9.0,9.0,9,218.05663150052186,51.862104525942044,-40.890000000000015,0.36879225282462735,0.33787463486641806,-0.7699263622440202,-0.06316044596738535,47.48193707036199,66.66666666666666,7.0,-0.04060314383617634,50.74626865671642,Rahul Chahar,Punjab Kings
8773,mustafizur rahman,"['Powerplay', 'Death']",291.73839403020645,61.03469861999489,-93.11999999999998,9.0,9.0,9,291.73839403020645,61.03469861999489,-93.11999999999998,0.44648169501906926,0.6851071875469591,-1.0655966315191054,-0.0769306001847194,46.933937712370025,65.0,12.0,-0.049455385833033945,49.25373134328358,Mustafizur Rahman,Chennai Super Kings
8998,umesh yadav,['Powerplay'],221.76802027853006,71.07883137960596,-48.419999999999995,7.0,7.0,7,221.76802027853006,71.07883137960596,-48.419999999999995,0.5708635295267037,1.3163654853594493,-0.855614710789651,-0.09037188815613656,46.39958476325589,80.0,6.0,-0.05271693475774638,47.76119402985074,Umesh Yadav,Gujarat Titans
9126,sai kishore,['Middle'],272.2887927167251,67.99529079493612,10.069999999999997,5.0,5.0,5,272.2887927167251,67.99529079493612,10.069999999999997,0.7987686168370508,1.3186598927810094,0.12397264825372135,-0.11394885947090971,45.463916675748955,77.77777777777779,8.0,-0.05697442973545491,46.26865671641791,Sai Kishore,Gujarat Titans
9219,sam curran,"['Powerplay', 'Death']",190.38518859211814,55.46829634834532,-64.47999999999993,13.0,13.0,13,190.38518859211814,55.46829634834532,-64.47999999999993,-0.26018693063016257,0.27182002115494885,-0.5993597015263653,-0.08220197694221328,46.72430506977176,50.0,13.0,-0.05936809445826517,44.776119402985074,Sam Curran,Punjab Kings
9459,noor ahmad,['Middle'],169.57712202670388,44.50085129921861,-31.769999999999996,10.0,10.0,10,169.57712202670388,44.50085129921861,-31.769999999999996,-0.015574564672406359,-0.10963824474510105,-0.6099507151533723,-0.11742911787117408,45.326000548367205,55.55555555555556,9.0,-0.07828607858078275,43.28358208955223,Noor Ahmad,Gujarat Titans
9673,lockie ferguson,"['Middle', 'Death']",169.32764076446767,60.68227344618704,-14.82999999999997,7.0,7.0,7,169.32764076446767,60.68227344618704,-14.82999999999997,-0.3676408427881776,0.4302579920484651,-0.22996948127879013,-0.15045108935474394,44.020436822901374,54.54545454545454,7.0,-0.08776313545693401,41.7910447761194,Lockie Ferguson,Royal Challengers Bengaluru
9820,marcus stoinis,"['Powerplay', 'Middle']",204.29134439217356,63.85875514181339,11.619999999999987,7.0,7.0,7,204.29134439217356,63.85875514181339,11.619999999999987,0.04587564610092579,0.6171884945293243,0.2788982151566743,-0.17312024936415282,43.12784542880318,60.0,4.0,-0.10098681212908919,40.298507462686565,Marcus Stoinis,Lucknow Super Giants
9907,ravindra jadeja,['Middle'],18.284614418727955,29.82910507204054,3.8700000000000117,14.0,14.0,14,18.284614418727955,29.82910507204054,3.8700000000000117,-1.215087932105077,-1.0015781360693394,0.015217274135079591,-0.23671903173384723,40.64373846759204,11.11111111111111,10.0,-0.17442454969862428,38.80597014925373,Ravindra Jadeja,Chennai Super Kings
10192,ravi bishnoi,['Middle'],79.49262839997789,37.170495201741964,-31.099999999999994,14.0,14.0,14,79.49262839997789,37.170495201741964,-31.099999999999994,-0.7298039472909835,-0.5552727942876634,-0.5981981182728093,-0.24855336642769704,40.18531423631216,27.77777777777778,11.0,-0.18314458578882942,37.3134328358209,Ravi Bishnoi,Lucknow Super Giants
