,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
4305,virat kohli,Openers,88.23478755381262,13.0,7353.1602540772,13.0,104.18999999999996,13.0,88.23478755381262,7353.1602540772,104.18999999999996,0.35714059835110473,1.0954647106275595,0.7081050296047162,0.7870499021303669,78.43736727539323,72.72727272727273,6.0,0.568424929316376,77.04918032786885,Virat Kohli,Royal Challengers Bangalore
4730,sai sudharsan,Top Order,121.25427007037895,7.0,7388.859354800858,7.0,29.789999999999978,7.0,121.25427007037895,7388.859354800858,29.789999999999978,1.4352220394583142,1.0484638415367808,0.34478353236337733,0.9259560881359028,82.27655994395697,94.44444444444444,5.0,0.54014105141261,75.40983606557377,Sai Sudharsan,Gujarat Titans
4974,tilak varma,Middle Order,53.46697078485862,10.0,7320.387653197046,10.0,41.52000000000007,10.0,53.46697078485862,7320.387653197046,41.52000000000007,0.3237995706345621,0.8432707808815486,0.41610198657676745,0.5778251854034806,71.83089251300626,62.5,5.0,0.38521679026898703,73.77049180327869,Tilak Varma,Mumbai Indians
5190,shivam dube,Top Order,101.88575691054169,14.0,7532.768997752875,14.0,-33.39000000000006,14.0,101.88575691054169,7532.768997752875,-33.39000000000006,1.177404673165263,1.1525996353164905,-1.0679315872824968,0.46311712849049674,67.83597934288976,83.33333333333334,6.0,0.341244199940366,72.1311475409836,Shivam Dube,Chennai Super Kings
5467,nitish rana,Top Order,24.855555085321367,13.0,6534.222228144841,13.0,43.880000000000045,13.0,24.855555085321367,6534.222228144841,43.880000000000045,0.15204337693619446,0.43003193001012846,0.6598382337848786,0.4316141384141535,66.69890595494596,55.55555555555556,7.0,0.31172132218799975,70.49180327868852,Nitish Rana,Kolkata Knight Riders
5753,shimron hetmyer,Middle Order,67.27041511345602,13.0,7018.468794705401,13.0,25.119999999999987,13.0,67.27041511345602,7018.468794705401,25.119999999999987,0.503746393276622,0.6090355893604011,0.05664229868501517,0.4092790952742229,65.8832572536315,68.75,6.0,0.29559045769804987,68.85245901639344,Shimron Hetmyer,Rajasthan Royals
5958,abdul samad,Lower Order,34.365141087861524,8.0,5258.460670412262,8.0,62.98999999999998,8.0,34.365141087861524,5258.460670412262,62.224499999999985,-0.34307662972985314,0.3758951954368785,1.0149053241000352,0.393978840042429,65.32016691853693,33.33333333333333,2.0,0.24244851694918707,67.21311475409836,Abdul Samad,Sunrisers Hyderabad
6089,tim david,Middle Order,-39.0892453658687,14.0,6290.982879016366,14.0,92.68000000000002,14.0,-39.0892453658687,6290.982879016366,92.68000000000002,-0.882797610156723,0.04463625491116291,1.5374408666098125,0.27743178742620866,60.92757118294286,25.0,7.0,0.20442342231404845,65.57377049180327,Tim David,Mumbai Indians
6234,jason roy,Openers,81.79169192343308,8.0,6470.7196227015365,8.0,62.45000000000002,8.0,81.79169192343308,6470.7196227015365,62.45000000000002,0.3049456432291876,0.5272491658396302,0.07297705376918635,0.32859367832957903,62.87685865316281,68.18181818181817,7.0,0.202211494356664,63.934426229508205,Jason Roy,Kolkata Knight Riders
6431,david warner,Openers,151.68378497755936,14.0,6336.524659288594,14.0,13.060000000000032,14.0,151.68378497755936,6336.524659288594,13.060000000000032,0.8711353864228765,0.44083920064501964,-0.678555546291112,0.19910388033542215,57.8909257034453,81.81818181818183,8.0,0.1467081223524163,62.295081967213115,David Warner,Delhi Capitals
6837,prabhsimran singh,Openers,41.73156031847299,9.0,5597.463524734347,9.0,89.19,9.0,41.73156031847299,5597.463524734347,89.19,-0.01957798504665296,-0.035052332757811305,0.47986066837968183,0.13020724235209666,55.17987676026937,54.54545454545454,9.0,0.08370465579777642,60.65573770491803,Prabhsimran Singh,Punjab Kings
7017,shikhar dhawan,Openers,78.37505452426835,7.0,6011.8837568301005,7.0,36.85000000000003,7.0,78.37505452426835,6011.8837568301005,36.85000000000003,0.277267761982722,0.23179850069070282,-0.31655998938820656,0.0714983866599561,52.84994457336995,59.09090909090909,10.0,0.04170739221830771,59.01639344262295,Shikhar Dhawan,Punjab Kings
7229,david miller,Middle Order,19.464140473626514,12.0,6972.358803697948,12.0,-3.2299999999999756,12.0,19.464140473626514,6972.358803697948,-3.2299999999999756,-0.11947394354674025,0.5732624593590901,-0.5647407593473698,0.04119489542825569,51.64297384608301,56.25,8.0,0.029078749714062824,57.377049180327866,David Miller,Gujarat Titans
